artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,characteristic_id,artist_id,genre_id
"""Cats"" 1981 Original London Cast",0.599,0.470,267072,0.376,0.010,0.283,-14.434,0.209,114.129,0.358,38.200,5,1,177621,0,
"""Cats"" 1983 Broadway Cast",0.863,0.442,287280,0.407,0.081,0.315,-10.690,0.176,103.044,0.269,31.538,5,1,177622,1,
"""Fiddler On The Roof” Motion Picture Chorus",0.857,0.348,328920,0.287,0.025,0.326,-15.231,0.119,77.376,0.355,34.571,0,1,177623,2,
"""Fiddler On The Roof” Motion Picture Orchestra",0.885,0.425,262891,0.246,0.074,0.275,-15.639,0.123,88.668,0.372,34.407,0,1,177624,3,
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.511,0.467,270436,0.488,0.009,0.195,-10.237,0.099,122.836,0.482,42.000,5,1,177625,4,
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.591,0.484,218505,0.301,0.007,0.176,-18.580,0.105,122.518,0.424,33.167,9,1,177626,5,
"""Mama"" Helen Teagarden",0.725,0.637,135533,0.512,0.186,0.426,-20.615,0.210,134.819,0.885,0.000,8,1,177627,6,
"""Test for Victor Young""",0.927,0.734,175693,0.474,0.076,0.737,-10.544,0.256,132.788,0.902,3.000,10,1,177628,7,
"""Weird Al"" Yankovic",0.187,0.651,218353,0.693,0.000,0.161,-9.691,0.082,132.877,0.765,32.868,9,1,177629,8,
$0dg0d,0.110,0.732,160171,0.822,0.000,0.154,-5.387,0.155,141.948,0.740,0.000,7,0,177630,9,
$NOT,0.458,0.827,146886,0.519,0.000,0.202,-8.713,0.273,90.729,0.427,74.167,0,1,177631,10,
$atori Zoom,0.239,0.883,141519,0.625,0.000,0.077,-4.098,0.245,126.677,0.871,69.000,6,1,177632,11,
$tar$eed,0.038,0.923,130375,0.172,0.020,0.083,-15.646,0.385,100.046,0.176,0.000,10,0,177633,12,
$uicideBoy$,0.155,0.779,149915,0.626,0.025,0.209,-6.554,0.150,117.679,0.243,65.333,1,1,177634,13,
'In The Heights' Original Broadway Company,0.627,0.547,387294,0.393,0.000,0.260,-8.349,0.312,171.168,0.509,52.000,5,1,177635,14,
'Legally Blonde' Ensemble,0.598,0.630,208494,0.510,0.000,0.251,-10.527,0.608,95.090,0.516,51.667,2,1,177636,15,
'Til Tuesday,0.106,0.557,255214,0.612,0.023,0.128,-9.638,0.032,103.080,0.533,33.875,0,1,177637,16,
((( O ))),0.847,0.410,311837,0.169,0.003,0.117,-11.422,0.049,89.494,0.208,66.000,3,1,177638,17,
(Con La Participación de Marc Anthony),0.538,0.731,361440,0.794,0.000,0.074,-4.182,0.041,88.003,0.873,42.000,5,1,177639,18,
(EM),0.446,0.462,221832,0.542,0.096,0.970,-9.161,0.031,99.403,0.547,4.000,6,1,177640,19,
(G)I-DLE,0.027,0.534,193086,0.830,0.000,0.169,-3.951,0.061,130.418,0.353,76.600,6,0,177641,20,
(Hed) P.E.,0.006,0.594,261253,0.896,0.000,0.128,-5.163,0.095,110.925,0.413,45.333,6,1,177642,21,
*NSYNC,0.185,0.600,234698,0.697,0.001,0.227,-6.387,0.054,116.974,0.557,46.040,9,1,177643,22,
*spandrel,0.897,0.513,236644,0.642,0.035,0.208,-14.456,0.367,107.057,0.302,0.000,8,0,177644,23,
44,0.000,0.416,192787,0.967,0.000,0.063,-2.289,0.109,171.032,0.431,53.000,9,0,177645,24,
-Sd-,0.011,0.880,451765,0.494,0.472,0.115,-7.633,0.183,136.031,0.261,0.000,9,0,177646,25,
...And You Will Know Us by the Trail of Dead,0.008,0.255,273624,0.858,0.000,0.513,-5.085,0.069,144.653,0.237,36.000,7,1,177647,26,
.ex-machina.,0.003,0.543,228206,0.956,0.000,0.068,-4.288,0.046,120.094,0.722,0.000,5,1,177648,27,
//Tense//,0.000,0.704,326632,0.844,0.442,0.266,-9.378,0.031,123.011,0.656,1.000,5,1,177649,28,
015B,0.475,0.624,234111,0.565,0.001,0.187,-5.962,0.066,112.892,0.438,15.207,0,1,177650,29,
03 Greedo,0.145,0.645,244529,0.526,0.000,0.105,-9.282,0.067,83.898,0.357,66.000,3,0,177651,30,
070 Shake,0.011,0.696,398106,0.667,0.000,0.181,-7.665,0.041,121.932,0.287,62.000,0,0,177652,31,
10 Ft. Ganja Plant,0.195,0.786,277307,0.752,0.867,0.043,-2.859,0.039,136.578,0.925,49.000,2,0,177653,32,
10 Years,0.001,0.452,213867,0.786,0.000,0.106,-4.567,0.047,145.142,0.258,57.667,6,0,177654,33,
"10,000 Maniacs",0.182,0.588,235078,0.557,0.002,0.206,-13.218,0.039,115.606,0.616,37.882,9,1,177655,34,
100 First Songs' Participants,0.682,0.676,53000,0.360,0.000,0.063,-15.708,0.281,132.450,0.593,34.000,0,1,177656,35,
100 gecs,0.131,0.626,128980,0.690,0.001,0.307,-5.972,0.151,108.326,0.742,67.400,1,1,177657,36,
101 Strings Orchestra,0.598,0.270,191426,0.388,0.750,0.186,-13.582,0.038,103.518,0.316,20.923,0,1,177658,37,
1011 - TEN-ELEVEN,0.740,0.668,252027,0.436,0.000,0.092,-7.040,0.032,128.135,0.316,18.000,11,1,177659,38,
10cc,0.211,0.564,291628,0.571,0.007,0.149,-10.388,0.065,120.384,0.578,40.722,7,1,177660,39,
5-Nov,0.270,0.929,182373,0.661,0.000,0.088,-6.794,0.171,114.973,0.708,37.000,1,0,177661,40,
112,0.144,0.688,267593,0.529,0.000,0.140,-7.723,0.109,115.964,0.581,49.163,0,1,177662,41,
12 Inches A Slave,0.002,0.800,270350,0.837,0.911,0.073,-8.938,0.061,127.987,0.895,0.000,10,1,177663,42,
12 Step Rebels,0.049,0.564,188373,0.984,0.000,0.372,-5.439,0.105,130.695,0.550,8.000,0,1,177664,43,
12 Stones,0.119,0.359,201327,0.869,0.000,0.328,-4.085,0.067,126.058,0.423,54.250,5,1,177665,44,
13th Floor Elevators,0.065,0.525,148828,0.835,0.556,0.084,-6.318,0.078,150.470,0.863,29.500,2,0,177666,45,
1422,0.506,0.682,59520,0.872,0.290,0.187,-5.947,0.061,117.606,0.794,6.000,7,1,177667,46,
16BL,0.154,0.749,454772,0.627,0.684,0.267,-9.870,0.041,122.829,0.344,6.200,9,0,177668,47,
1776 Ensemble,0.892,0.589,193207,0.403,0.000,0.473,-11.349,0.172,97.404,0.594,21.500,0,1,177669,48,
1776 Orchestra,0.080,0.739,113493,0.518,0.865,0.092,-15.621,0.098,120.939,0.222,18.000,11,1,177670,49,
19 Hz,0.005,0.803,434027,0.529,0.715,0.446,-10.279,0.067,129.990,0.800,0.000,6,0,177671,50,
1910 Fruitgum Company,0.419,0.757,140750,0.605,0.001,0.124,-9.726,0.045,128.498,0.900,23.750,9,1,177672,51,
1920Johnny,0.508,0.751,198441,0.385,0.000,0.126,-10.369,0.184,123.955,0.317,0.111,10,0,177673,52,
1920s to 1950s Acoustic & Electric,0.981,0.577,172119,0.168,0.781,0.150,-17.939,0.045,129.003,0.498,4.857,8,1,177674,53,
1927,0.002,0.565,253227,0.777,0.056,0.213,-3.233,0.034,123.102,0.395,51.000,7,1,177675,54,
1986 Omega Tribe,0.320,0.680,274628,0.612,0.028,0.169,-13.468,0.032,121.795,0.835,37.889,9,0,177676,55,
1Touch,0.001,0.740,344067,0.591,0.263,0.095,-7.898,0.055,128.019,0.381,0.000,5,1,177677,56,
