genre_name,genre_id,characteristic_id
21st century classical,0,174389
432hz,1,174390
8-bit,2,174391
[],3,174392
a cappella,4,174393
abstract,5,174394
abstract beats,6,174395
abstract hip hop,7,174396
abstract idm,8,174397
accordeon,9,174398
accordion,10,174399
acid house,11,174400
acid jazz,12,174401
acid rock,13,174402
acid techno,14,174403
acid trance,15,174404
acousmatic,16,174405
acoustic blues,17,174406
acoustic chill,18,174407
acoustic guitar cover,19,174408
acoustic pop,20,174409
acoustic punk,21,174410
acoustic rock,22,174411
action rock,23,174412
adoracao,24,174413
adoracion,25,174414
adult standards,26,174415
adventista,27,174416
afghan pop,28,174417
afghan traditional,29,174418
african gospel,30,174419
african percussion,31,174420
african reggae,32,174421
african rock,33,174422
african-american classical,34,174423
afrikaans,35,174424
afro dancehall,36,174425
afro house,37,174426
afro psych,38,174427
afro-funk,39,174428
afrobeat,40,174429
afrofuturism,41,174430
afrofuturismo brasileiro,42,174431
afropop,43,174432
afroswing,44,174433
aggrotech,45,174434
alabama indie,46,174435
alabama metal,47,174436
alabama rap,48,174437
alaska indie,49,174438
albanian hip hop,50,174439
albanian pop,51,174440
alberta country,52,174441
alberta hip hop,53,174442
album rock,54,174443
albuquerque indie,55,174444
alternative americana,56,174445
alternative country,57,174446
alternative dance,58,174447
alternative emo,59,174448
alternative hip hop,60,174449
alternative metal,61,174450
alternative pop,62,174451
alternative pop rock,63,174452
alternative r&b,64,174453
alternative rock,65,174454
alternative roots rock,66,174455
amapiano,67,174456
ambeat,68,174457
ambient,69,174458
ambient black metal,70,174459
ambient dub techno,71,174460
ambient folk,72,174461
ambient house,73,174462
ambient idm,74,174463
ambient industrial,75,174464
ambient pop,76,174465
ambient psychill,77,174466
ambient techno,78,174467
ambient trance,79,174468
ambient worship,80,174469
american 21st century classical,81,174470
american choir,82,174471
american classical piano,83,174472
american contemporary classical,84,174473
american early music,85,174474
american folk revival,86,174475
american grindcore,87,174476
american metalcore,88,174477
american modern classical,89,174478
american oi,90,174479
american orchestra,91,174480
american post-rock,92,174481
american primitive,93,174482
american romanticism,94,174483
american shoegaze,95,174484
anadolu rock,96,174485
anarcho-punk,97,174486
anglican liturgy,98,174487
animal singing,99,174488
anime,100,174489
anime latino,101,174490
anime rock,102,174491
anime score,103,174492
ann arbor indie,104,174493
anthem emo,105,174494
anthem worship,106,174495
anti-folk,107,174496
antilliaanse folklore,108,174497
antiviral pop,109,174498
appalachian folk,110,174499
arab alternative,111,174500
arab electronic,112,174501
arab folk,113,174502
arab groove,114,174503
arab pop,115,174504
arabesk,116,174505
arabic hip hop,117,174506
arabic jazz,118,174507
argentine ambient,119,174508
argentine heavy metal,120,174509
argentine hip hop,121,174510
argentine indie,122,174511
argentine metal,123,174512
argentine punk,124,174513
argentine reggae,125,174514
argentine rock,126,174515
argentine telepop,127,174516
arizona punk,128,174517
arkansas country,129,174518
arkansas hip hop,130,174519
armenian folk,131,174520
art pop,132,174521
art punk,133,174522
art rock,134,174523
art song,135,174524
asbury park indie,136,174525
asian american hip hop,137,174526
asmr,138,174527
assyrian pop,139,174528
athens indie,140,174529
atl hip hop,141,174530
atl trap,142,174531
atlanta indie,143,174532
atlanta metal,144,174533
atlanta punk,145,174534
atmosphere,146,174535
atmospheric black metal,147,174536
atmospheric dnb,148,174537
